timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734109658092,89,Moodle/moodle/course/view.php-441-2,200,OK,for 100 samples 2-4,text,true,,6690,529,4,7,https://cse.buet.ac.bd/moodle/login/index.php,89,0,0
1734109658175,64,Home/web/assets/img/news/PG_Seminar_(CSE-BUET):_IMPACTS2.jpg-429,200,OK,for 50 samples 1-1,bin,true,,66116,496,3,7,https://cse.buet.ac.bd/web/assets/img/news/PG_Seminar_(CSE-BUET):_IMPACTS2.jpg,60,0,0
1734109658181,104,Moodle/moodle/my/courses.php-443,200,OK,for 100 samples 2-4,text,true,,8818,528,4,7,https://cse.buet.ac.bd/moodle/my/courses.php,104,0,0
1734109658175,140,Notice/home/download/1300-458,200,OK,for 100 samples 2-2,text,true,,100268,518,4,7,https://cse.buet.ac.bd/home/download/1300,67,0,0
1734109658011,306,Home/submit/firefox-desktop/newtab/1/e4643b50-a43e-43b0-8c77-cdea35172535-447,200,OK,for 100 samples 2-3,text,true,,747,3162,4,7,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/e4643b50-a43e-43b0-8c77-cdea35172535,306,0,0
1734109657970,348,Moodle/moodle/-437,200,OK,for 100 samples 2-5,text,true,,12079,455,4,7,https://cse.buet.ac.bd/moodle/,347,0,166
1734109658067,284,Moodle/complete/search-461,200,OK,for 50 samples 1-3,text,true,,1921,293,3,8,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,284,0,146
1734109658239,134,Home/web/assets/img/news/elsiver2022.jpg-426,200,OK,for 50 samples 1-1,bin,true,,97083,476,3,8,https://cse.buet.ac.bd/web/assets/img/news/elsiver2022.jpg,61,0,0
1734109658315,78,Notice/home/notice-459,200,OK,for 100 samples 2-2,text,true,,3583,510,5,8,https://cse.buet.ac.bd/home/notice,78,0,0
1734109658285,126,Home/complete/search-444,200,OK,for 100 samples 2-4,text,true,,1922,293,5,8,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,126,0,0
1734109658120,296,Home/submit/telemetry/486f272a-7512-4efb-8700-65d97f24871d/event/Firefox/133.0.3/release/20241209150345?v=4-416,200,OK,for 50 samples 1-2,text,true,,778,7651,3,8,https://incoming.telemetry.mozilla.org/submit/telemetry/486f272a-7512-4efb-8700-65d97f24871d/event/Firefox/133.0.3/release/20241209150345?v=4,296,0,0
1734109658373,90,Home/home/head_message-431,200,OK,for 50 samples 1-1,text,true,,4343,506,3,8,https://cse.buet.ac.bd/home/head_message,90,0,0
1734109658351,128,Moodle/complete/search-462,200,OK,for 50 samples 1-3,text,true,,1493,294,3,8,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,128,0,0
1734109658411,141,Home/complete/search-445,200,OK,for 100 samples 2-4,text,true,,1493,294,5,8,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,141,0,0
1734109658416,137,Home/complete/search-417,200,OK,for 50 samples 1-2,text,true,,22194,291,3,8,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,137,0,0
